filename,width,height,class,xmin,ymin,xmax,ymax,labels
../../dataset/train/XML/rotated-35_TP_2016_Jun_25_220052_ARBO_copy.jpg,1280,960,TLE,729,233,803,290,1
../../dataset/train/XML/1_001006_ARBO-TP_2017_May_30_205813_AGO-Spec_copy_2.jpg,1280,960,TLE,586,791,670,862,1
../../dataset/train/XML/1_215359_AGO-TP_2017_Jun_02_212345_AGO.jpg,1280,960,TLE,427,5,497,75,1
../../dataset/train/XML/vf_TP_2021_Jun_10_011526_ARBO.jpg,1280,960,TLE,908,823,1001,897,1
../../dataset/train/XML/vf_TP_2017_Jul_21_202613_VAZEC.jpg,1280,960,TLE,1158,418,1198,484,1
../../dataset/train/XML/vf_TP_2017_Aug_27_014504_AGO.jpg,1280,960,TLE,420,43,535,123,1
../../dataset/train/XML/hf_TP_2019_Dec_14_224329_ARBO.jpg,1280,960,TLE,184,268,213,327,1
../../dataset/train/XML/030542_ARBO-TP_2017_Jul_21_202613_VAZEC.jpg,1280,960,TLE,1158,475,1198,541,1
../../dataset/train/XML/TP_2017_Jul_05_233028_AGO-Spec.jpg,1280,960,TLE,525,719,608,796,1
../../dataset/train/XML/TP_2019_Jun_11_212025_ARBO.jpg,1280,960,TLE,392,36,483,104,1
../../dataset/train/XML/hf_TP_2019_Jun_20_233850_ARBO.jpg,1280,960,TLE,942,286,1008,347,1
../../dataset/train/XML/rotated6_TP_2021_Jul_10_010553_AGO.jpg,1280,960,TLE,1055,614,1094,659,1
../../dataset/train/XML/220208_ARBO-TP_2019_Aug_06_233347_ARBO.jpg,1280,960,TLE,290,89,335,136,1
../../dataset/train/XML/rotated-8_TP_2019_Jun_20_233850_AGO.jpg,1280,960,TLE,431,163,511,225,1
../../dataset/train/XML/rotated20_TP_2019_Jun_20_213848_ARBO.jpg,1280,960,TLE,277,386,333,440,1
../../dataset/train/XML/TP_2017_Aug_27_014504_AGO.jpg,1280,960,TLE,420,837,535,917,1
../../dataset/train/XML/rotated16_TP_2016_Jun_25_205325_ARBO.jpg,1280,960,TLE,282,607,332,667,1
../../dataset/train/XML/TP_2016_Jun_25_220052_ARBO_copy.jpg,1280,960,TLE,537,75,606,138,1
../../dataset/train/XML/rotated27_TP_2021_Jul_09_010254_AGO.jpg,1280,960,TLE,450,750,522,811,1
../../dataset/train/XML/221853_VAZEC-TP_2016_Jun_25_205325_ARBO.jpg,1280,960,TLE,189,538,229,610,1
../../dataset/train/XML/rotated-39_TP_2021_Jul_09_203214_ARBO.jpg,1280,960,TLE,1042,476,1071,497,1
../../dataset/train/XML/rotated-6_TP_2020_Jun_27_235825_ARBO.jpg,1280,960,TLE,244,312,278,375,1
../../dataset/train/XML/TP_2017_Jul_05_231212_AGO-Spec_copy.jpg,1280,960,TLE,479,724,533,821,1
../../dataset/train/XML/vf_TP_2018_Apr_13_005018_KNM.jpg,1280,960,TLE,254,704,411,851,1
